"question, query"
List all boardgames by GMT.,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131436 sep_dot bra_close 
Who developed Skype?,SELECT var_uri WHERE bra_open wd_Q40984 wdt_P178 var_uri sep_dot bra_close 
Which people were born in Heraklion?,SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q160544 sep_dot bra_close 
In which U.S. state is Area 51 located?,SELECT DISTINCT var_uri WHERE bra_open wd_Q177397 wdt_P131 var_obj sep_dot var_obj wdt_P131 var_uri sep_dot bra_close 
Who is the mayor of New York City?,SELECT DISTINCT var_uri WHERE bra_open wd_Q60 wdt_P6 var_uri sep_dot bra_close 
Where did Abraham Lincoln die?,SELECT DISTINCT var_uri WHERE bra_open wd_Q91 wdt_P20 var_uri bra_close 
Which airports does Air China serve?,SELECT DISTINCT var_uri WHERE bra_open wd_Q51747 wdt_P113 var_uri sep_dot bra_close 
Give me all actors starring in movies directed by and starring William Shatner.,SELECT DISTINCT var_uri WHERE bra_open var_film wdt_P57 wd_Q16297 ; wdt_P161 wd_Q16297 sep_dot var_film wdt_P161 var_uri sep_dot bra_close 
What are the official languages of the Philippines?,SELECT DISTINCT var_uri WHERE bra_open wd_Q928 wdt_P37 var_uri sep_dot bra_close 
Give me all Danish films.,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q11424 sep_dot var_uri wdt_P31 var_type ; wdt_P495 wd_Q35 sep_dot bra_close 
Which movies starring Brad Pitt were directed by Guy Ritchie?,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q11424 sep_dot var_uri wdt_P31 var_type ; wdt_P161 wd_Q35332 ; wdt_P57 wd_Q192990 sep_dot bra_close 
Give me the grandchildren of Bruce Lee.,SELECT DISTINCT var_uri WHERE bra_open wd_Q16397 wdt_P40 var_children sep_dot var_children wdt_P40 var_uri sep_dot bra_close 
Which other weapons did the designer of the Uzi develop?,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q728 sep_dot wd_Q155644 wdt_P287 var_designer sep_dot var_uri wdt_P279 var_type ; wdt_P287 var_designer sep_dot FILTER ( var_uri != wd_Q155644) bra_close 
Who is the owner of Universal Studios?,SELECT DISTINCT var_uri WHERE bra_open wd_Q168383 wdt_P127 var_uri sep_dot bra_close 
Which state of the USA has the highest population density?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q35657 ; wdt_P2046 var_area ; wdt_P1082 var_population sep_dot BIND(( var_population/ var_area) AS var_density) sep_dot bra_close ORDER BY DESC( var_density) LIMIT 1
Which monarchs were married to a German?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q116 ; wdt_P26 var_spouse sep_dot var_spouse wdt_P27 wd_Q183 sep_dot bra_close 
Which organizations were founded in 1950?,"SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q43229 sep_dot var_uri wdt_P31 var_type sep_dot var_uri wdt_P571 var_foundedAt sep_dot FILTER CONTAINS(STR( var_foundedAt), ""1950"") bra_close "
Who created the comic Captain America?,SELECT DISTINCT var_uri WHERE bra_open wd_Q190679 wdt_P170 var_uri sep_dot bra_close 
Give me the Apollo 14 astronauts.,SELECT DISTINCT var_uri WHERE bra_open wd_Q178871 wdt_P1029 var_uri bra_close 
Who wrote the book The pillars of the Earth?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1163227 wdt_P50 var_uri sep_dot bra_close 
Which state of the United States of America has the highest density?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q35657 ; wdt_P2046 var_area ; wdt_P1082 var_population sep_dot BIND(( var_population/ var_area) AS var_density) sep_dot bra_close ORDER BY DESC( var_density) LIMIT 1
Which spaceflights were launched from Baikonur?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P1427 wd_Q177477 bra_close 
Give me a list of all trumpet players that were bandleaders.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q158852 ; wdt_P1303 wd_Q8338 sep_dot bra_close 
Which U.S. states are in the same timezone as Utah?,SELECT DISTINCT var_uri WHERE bra_open wd_Q829 wdt_P421 var_timezone sep_dot var_uri wdt_P31 wd_Q35657 ; wdt_P421 var_timezone sep_dot FILTER( var_uri != wd_Q829) bra_close 
Who is the daughter of Ingrid Bergman married to?,SELECT DISTINCT var_uri WHERE bra_open wd_Q43247 wdt_P40 var_child sep_dot var_child wdt_P26 var_uri sep_dot bra_close 
Show me all museums in London.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q33506 sep_dot var_uri wdt_P276 wd_Q84 sep_dot bra_close 
Who is the tallest player of the Atlanta Falcons?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P54 wd_Q272059 ; wdt_P2048 var_height sep_dot bra_close ORDER BY DESC( var_height) LIMIT 1
Give me all writers that won the Nobel Prize in literature.,SELECT var_uri WHERE bra_open var_uri wdt_P106 wd_Q36180 sep_dot var_uri wdt_P166 wd_Q37922 sep_dot bra_close 
Show me all basketball players that are higher than 2 meters.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q3665646 sep_dot var_uri wdt_P2048 var_height sep_dot FILTER( var_height > 200) bra_close 
When was the Statue of Liberty built?,SELECT DISTINCT var_date WHERE bra_open wd_Q9202 wdt_P571 var_date sep_dot bra_close 
Which states border Illinois?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1204 wdt_P47 var_uri sep_dot bra_close 
Who developed Minecraft?,SELECT DISTINCT var_uri WHERE bra_open wd_Q49740 wdt_P178 var_uri sep_dot bra_close 
Where did Hillel Slovak die?,SELECT DISTINCT var_uri WHERE bra_open wd_Q186924 wdt_P20 var_uri sep_dot bra_close 
What movies does Jesse Eisenberg play in?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P161 wd_Q219512 sep_dot bra_close 
Give all swimmers that were born in Moscow.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q10843402 ; wdt_P19 wd_Q649 sep_dot bra_close 
Give me all cosmonauts.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q11631 sep_dot bra_open var_uri wdt_P27 wd_Q15180 bra_close UNION bra_open var_uri wdt_P27 wd_Q159 bra_close bra_close 
Give me all Swiss non-profit organizations.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q163740 sep_dot bra_open var_uri wdt_P159 wd_Q39 sep_dot bra_close UNION bra_open var_uri wdt_P159 var_city sep_dot var_city wdt_P31 wd_Q70208 bra_close bra_close 
Which presidents were born in 1945?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P39/wdt_P279 wd_Q30461 sep_dot var_uri wdt_P569 var_date sep_dot FILTER(year( var_date)=1945) bra_close 
What kind of music did Lou Reed play?,SELECT DISTINCT var_uri WHERE bra_open wd_Q189080 wdt_P136 var_uri sep_dot bra_close 
Where do the Red Sox play?,SELECT DISTINCT var_uri WHERE bra_open wd_Q213959 wdt_P115 var_uri bra_close 
Show a list of soccer clubs that play in the Bundesliga.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q476028 ; wdt_P118 wd_Q82595 sep_dot bra_close 
Which bridges cross the Seine?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q12280 ; wdt_P177 wd_Q1471 sep_dot bra_close 
How many films did Hal Roach produce?,SELECT (COUNT( var_uri) as var_c) WHERE bra_open var_uri wdt_P162 wd_Q72792 sep_dot bra_close 
Give me all Danish movies.,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q11424 sep_dot var_uri wdt_P31 var_type ; wdt_P495 wd_Q35 sep_dot bra_close 
What is the most frequent cause of death?,SELECT var_uri WHERE bra_open var_s wdt_P509 var_uri sep_dot bra_close GROUP BY var_uri ORDER BY DESC(COUNT(DISTINCT var_s)) LIMIT 1
Who are the four youngest MVP basketball players?,"SELECT var_uri WHERE bra_open var_uri wdt_P106 wd_Q3665646 ; wdt_P569 var_birthDate ; wdt_P166 var_award sep_dot var_award rdfs_label var_awardLabel FILTER (CONTAINS(STR( var_awardLabel), ""MVP"") sep_or sep_or CONTAINS(STR( var_awardLabel), ""Most Valuable Player"")) sep_dot FILTER (LANGMATCHES(LANG( var_awardLabel), ""EN"" ) ) bra_close ORDER BY DESC( var_birthDate) LIMIT 4"
Give me all companies in Munich.,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q4830453 sep_dot var_uri wdt_P31 var_type ; wdt_P159 wd_Q1726 sep_dot bra_close 
Give me the capitals of all countries that the Himalayas run through.,SELECT DISTINCT var_uri WHERE bra_open wd_Q5451 wdt_P17 var_country sep_dot var_country wdt_P36 var_uri sep_dot bra_close 
How many movies did Park Chan-wook direct?,SELECT (COUNT(DISTINCT var_uri) as var_count) WHERE bra_open var_uri wdt_P57 wd_Q315484 sep_dot bra_close 
Which rivers flow into a German lake?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q4022 sep_dot var_lake wdt_P31 wd_Q23397 ; wdt_P17 wd_183 sep_dot var_uri wdt_P200 var_lake sep_dot bra_close 
How many airlines are there?,SELECT (COUNT(DISTINCT var_uri) AS var_uri) WHERE bra_open var_uri wdt_P31 wd_Q46970 bra_close 
Give me all islands that belong to Japan.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q23442 ; wdt_P17 wd_Q17 sep_dot bra_close 
How many inhabitants does Maribor have?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1010 wdt_P1082 var_uri sep_dot bra_close 
Give me all Apollo 14 astronauts.,SELECT DISTINCT var_uri WHERE bra_open wd_Q178871 wdt_P1029 var_uri bra_close 
Which companies have more than 1 million employees?,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q4830453 sep_dot var_uri wdt_P31 var_type ; wdt_P1128 var_num sep_dot FILTER( var_num > 1000000) bra_close 
In which films directed by Garry Marshall was Julia Roberts starring?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q11424 sep_dot var_uri wdt_P57 wd_Q315087 sep_dot var_uri wdt_P161 wd_Q40523 sep_dot bra_close 
Give me all soccer clubs in the Premier League.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q476028 sep_dot var_uri wdt_P118 wd_Q9448 sep_dot bra_close 
What is the highest place of the Urals?,SELECT DISTINCT var_uri WHERE bra_open wd_Q35600 wdt_P610 var_uri sep_dot bra_close 
Who is the governor of Wyoming?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1214 wdt_P6 var_uri sep_dot bra_close 
Where did the architect of the Eiffel Tower study?,SELECT DISTINCT var_uri WHERE bra_open wd_Q243 wdt_P84 var_x sep_dot var_x wdt_P69 var_uri bra_close 
Give me all world heritage sites designated within the past two years.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q9259 ; wdt_P575 var_date sep_dot BIND(xsd_integer(YEAR( var_date)) as var_year) sep_dot BIND(xsd_integer(YEAR(NOW())) as var_currentYear) sep_dot FILTER( var_year < var_currentYear && var_year < ( var_currentYear - 2)) sep_dot bra_close 
Give me all actors who were born in Paris after 1950.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q33999 ; wdt_P19 wd_Q90 ; wdt_P569 var_birthDate sep_dot BIND(YEAR( var_birthDate) as var_birthYear) sep_dot FILTER( var_birthYear > 1950) bra_close 
Which movies star both Liz Taylor and Richard Burton?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P161 wd_Q34851 sep_dot var_uri wdt_P161 wd_Q151973 sep_dot bra_close 
Give me all Australian nonprofit organizations.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q163740 sep_dot bra_open var_uri wdt_P159 sep_or wdt_P17 wd_Q408 sep_dot bra_close UNION bra_open var_uri wdt_P159 sep_or wdt_P17 var_city sep_dot var_city wdt_P159 wd_Q408 bra_close bra_close 
Which pope succeeded John Paul II?,SELECT DISTINCT var_uri WHERE bra_open wd_Q989 <p_P39> var_position sep_dot var_position <p_statement/P39> wd_Q19546 sep_dot var_position <p_qualifier/P1366> var_uri bra_close 
Who was president of Pakistan in 1978?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P39 wd_Q473984 sep_dot var_uri p_P39 var_statement sep_dot var_statement pq_P580 var_startDate ; pq_P582 var_endDate sep_dot FILTER(YEAR( var_startDate) <= 1978 && YEAR( var_endDate) >= 1978) sep_dot bra_close 
Who is the owner of Rolls-Royce?,SELECT DISTINCT var_uri WHERE bra_open wd_Q243278 wdt_P127 var_uri sep_dot bra_close 
How many museums does Paris have?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q33506 ; wdt_P131 wd_Q90 sep_dot bra_close 
Where was JFK assassinated?,SELECT DISTINCT var_uri WHERE bra_open wd_Q9696 wdt_P20 var_uri sep_dot bra_close 
Give me all federal chancellors of Germany.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P39 wd_Q4970706 sep_dot bra_close 
Which beer originated in Ireland?,SELECT DISTINCT var_uri WHERE bra_open VALUES var_beerType bra_open wd_Q44 wd_Q15075508 bra_close var_uri wdt_P31 var_beerType ; wdt_P17 wd_Q27 sep_dot bra_close 
To which countries does the Himalayan mountain system extend?,SELECT DISTINCT var_uri WHERE bra_open wd_Q5451 wdt_P17 var_uri sep_dot bra_close 
Which actors were born in Germany?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q10800557 sep_dot bra_open var_uri wdt_P19 wd_Q183 sep_dot bra_close UNION bra_open var_uri wdt_P19/wdt_P17 wd_Q183 sep_dot bra_close bra_close 
Who produced the most films?,SELECT DISTINCT var_uri WHERE bra_open var_film wdt_P31 wd_Q11424 sep_dot var_film wdt_P162 var_uri sep_dot bra_close GROUP BY var_uri ORDER BY DESC(COUNT( var_film)) LIMIT 1
How many employees does Google have?,SELECT DISTINCT var_uri WHERE bra_open wd_Q95 wdt_P1128 var_uri sep_dot bra_close 
Give me all actors who were born in Berlin.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q33999 ; wdt_P19 wd_Q64 sep_dot bra_close 
Who created Goofy?,SELECT DISTINCT var_uri WHERE bra_open wd_Q111135 wdt_P170 var_uri sep_dot bra_close 
Which music albums contain the song Last Christmas?,SELECT DISTINCT var_uri WHERE bra_open bra_open wd_Q1318118 wdt_P361 var_uri sep_dot bra_close UNION bra_open VALUES var_albumType bra_open wd_Q482994 wd_Q208569 bra_close var_uri wdt_P31 sep_or wdt_P7937 var_albumType ; wdt_P658 wd_Q1318118 sep_dot bra_close bra_close 
When was Alberta admitted as province?,SELECT DISTINCT var_date WHERE bra_open wd_Q1951 wdt_P571 var_date sep_dot bra_close 
How many missions does the Soyuz programme have?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE bra_open var_uri wdt_P361 wd_Q207329 bra_close 
Give me all the TV shows with Neil Patrick Harris.,SELECT var_uri WHERE bra_open var_type wdt_P279* wd_Q15416 sep_dot var_uri wdt_P161 wd_Q485310 sep_dot var_uri wdt_P31 var_type sep_dot bra_close 
When were the Hells Angels founded?,SELECT var_date WHERE bra_open wd_Q622188 wdt_P571 var_date sep_dot bra_close 
What is the net income of Apple?,SELECT DISTINCT var_uri WHERE bra_open wd_Q312 wdt_P2295 var_uri sep_dot bra_close 
Give me all Swedish holidays.,SELECT var_uri WHERE bra_open var_uri wdt_P31 wd_Q1401522 sep_dot bra_close 
In which city was the former Dutch queen Juliana buried?,SELECT DISTINCT var_uri WHERE bra_open wd_Q154946 wdt_P119 var_uri sep_dot bra_close 
List all the musicals with music by Leonard Bernstein.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q2743 ; wdt_P86 wd_Q152505 sep_dot bra_close 
Give me all companies in the advertising industry.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q4830453 ; wdt_P452 wd_Q39809 sep_dot bra_close 
Who killed John Lennon?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1203 wdt_P157 var_uri sep_dot bra_close 
Which writers studied in Istanbul?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q36180 sep_dot var_uri wdt_P69/wdt_P131 wd_Q406 sep_dot bra_close 
Give me all Australian metalcore bands.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q215380 ; wdt_P495 wd_Q408 ; wdt_P136 wd_Q183862 sep_dot bra_close 
Which countries adopted the Euro?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q6256 sep_dot var_uri wdt_P38 wd_Q4916 sep_dot bra_close 
Give me all types of eating disorders.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P279 wd_Q373822 sep_dot bra_close 
Was Marc Chagall a jew?,ASK WHERE bra_open wd_Q93284 wdt_P172 wd_Q7325 sep_dot bra_close 
What was Brazil's lowest rank in the FIFA World Ranking?,SELECT var_value WHERE bra_open wd_Q83459 p_P1352 var_statement sep_dot var_statement pq_P459 wd_Q180825 ; ps_P1352 var_value sep_dot bra_close ORDER BY DESC( var_value) LIMIT 1
How many films did Leonardo DiCaprio star in?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE bra_open var_uri wdt_P31 wd_Q11424 ; wdt_P161 wd_Q38111 sep_dot bra_close 
Was Margaret Thatcher a chemist?,ASK WHERE bra_open wd_Q7416 wdt_P106 wd_Q593644 sep_dot bra_close 
Which U.S. states are in the same time zone as Utah?,SELECT DISTINCT var_uri WHERE bra_open wd_Q829 wdt_P421 var_timezone sep_dot var_uri wdt_P31 wd_Q35657 ; wdt_P421 var_timezone sep_dot FILTER( var_uri != wd_Q829) bra_close 
Give me all books written by Danielle Steel.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q571 sep_dot var_uri wdt_P50 wd_Q72653 sep_dot bra_close 
Which country has the most official languages?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q6256 sep_dot var_uri wdt_P37 var_language sep_dot bra_close GROUP BY var_uri ORDER BY DESC(COUNT( var_language)) LIMIT 1
Which actor played Chewbacca?,SELECT DISTINCT var_uri WHERE bra_open wd_Q51803 wdt_P175 var_uri bra_close 
Give me all libraries established earlier than 1400.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q7075 ; wdt_P571 var_date sep_dot FILTER (YEAR( var_date) < 1400 ) bra_close 
Which programming languages were influenced by Perl?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q9143 ; wdt_P737 wd_Q42478 sep_dot bra_close 
In which U.S. state is Mount McKinley located?,SELECT DISTINCT var_uri WHERE bra_open wd_Q130018 wdt_P131 var_uri bra_close 
What airlines are part of the SkyTeam alliance?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P114 wd_Q212282 sep_dot bra_close 
Give me all Methodist politicians.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q82955 ; wdt_P140 wd_Q33203 sep_dot bra_close 
What other books have been written by the author of The Fault in Our Stars?,SELECT DISTINCT var_uri WHERE bra_open wd_Q658375 wdt_P50 var_author sep_dot var_uri wdt_P50 var_author sep_dot FILTER( var_uri != wd_Q658375) bra_close 
What is the highest mountain?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q8502 ; wdt_P2044 var_elevation sep_dot bra_close ORDER BY DESC( var_elevation) LIMIT 1
Which poet wrote the most books?,SELECT DISTINCT var_s1 WHERE bra_open var_s1 wdt_P106 wd_Q49757 sep_dot var_s2 wdt_P50 var_s1 sep_dot var_s2 wdt_P31 wd_Q571 sep_dot bra_close GROUP BY var_s1 ORDER BY DESC(COUNT( var_s2)) OFFSET 0 LIMIT 1
Which programming languages influenced Javascript?,SELECT DISTINCT var_uri WHERE bra_open wd_Q2005 wdt_P737 var_uri sep_dot bra_close 
Which musician wrote the most books?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q639669 sep_dot var_x wdt_P31 wd_Q571 ; wdt_P50 var_uri sep_dot bra_close GROUP BY var_uri ORDER BY DESC(COUNT( var_x)) LIMIT 1
Which films starring Clint Eastwood did he direct himself?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P57 wd_Q43203 ; wdt_P161 wd_Q43203 sep_dot bra_close 
Which software has been developed by organizations founded in California?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P178 var_com ; wdt_P31* wd_Q17155032 sep_dot var_type wdt_P279* wd_Q4830453 sep_dot var_com wdt_P31 var_type ; wdt_P740 wd_Q99 sep_dot bra_close 
Which instruments does Cat Stevens play?,SELECT DISTINCT var_uri WHERE bra_open wd_Q154216 wdt_P1303 var_uri sep_dot bra_close 
How many airlines are members of the Star Alliance?,SELECT (COUNT(DISTINCT var_uri) as var_c) WHERE bra_open var_uri wdt_P114 wd_Q189709 sep_dot bra_close 
Give me all actors called Baldwin.,"SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q33999 ; rdfs_label var_label sep_dot FILTER(CONTAINS( var_label, ""Baldwin"")) bra_close "
Who wrote The Hunger Games?,SELECT DISTINCT var_uri WHERE bra_open wd_Q11679 wdt_P50 var_uri sep_dot bra_close 
For which label did Elvis record his first album?,SELECT DISTINCT var_label WHERE bra_open wd_Q59150527 wdt_P527 var_uri sep_dot var_uri wdt_P577 var_date sep_dot var_uri wdt_P264 var_label sep_dot bra_close ORDER BY var_date LIMIT 1
Is Christian Bale starring in Batman Begins?,ASK WHERE bra_open wd_Q166262 wdt_P161 wd_Q45772 bra_close 
Where is the residence of the prime minister of Spain?,SELECT DISTINCT var_uri WHERE bra_open wd_Q844587 wdt_P263 var_uri bra_close 
Which actor was casted in the most movies?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q33999 sep_dot var_film wdt_P161 var_uri sep_dot bra_close GROUP BY var_uri ORDER BY DESC(COUNT(DISTINCT( var_film))) LIMIT 1
Which countries have more than two official languages?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q6256 sep_dot var_uri wdt_P37 var_language sep_dot bra_close GROUP BY var_uri HAVING(COUNT( var_language)>2)
Show me all songs from Bruce Springsteen released between 1980 and 1990.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q7366 ; wdt_P577 var_date ; wdt_P175 wd_Q1225 sep_dot BIND(YEAR( var_date) as var_year) sep_dot FILTER( var_year >= 1980 && var_year <= 1990) bra_close 
