"question, query"
Which television shows were created by John Cleese?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q5398426 sep_dot bra_open var_uri wdt_P170 wd_Q25014 sep_dot bra_close UNION bra_open var_uri wdt_P170/wdt_P527 wd_Q25014 sep_dot bra_close bra_close 
When did Latvia join the EU?,SELECT DISTINCT var_date WHERE bra_open wd_Q211 <p_P463> var_membership sep_dot var_membership <p_statement/P463> wd_Q458 sep_dot var_membership <p_qualifier/P580> var_date sep_dot bra_close 
Which soccer players were born on Malta?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q937857 ; wdt_P19 var_birthPlace sep_dot var_birthPlace wdt_P17 wd_Q233 sep_dot bra_close 
How many politicians graduated from Columbia University?,SELECT DISTINCT (COUNT(DISTINCT var_uri) AS var_c) WHERE bra_open var_uri wdt_P106 wd_Q82955 ; wdt_P69 wd_Q49088 sep_dot bra_close 
Give me the birthdays of all actors of the television show Charmed.,SELECT DISTINCT var_date WHERE bra_open wd_Q162371 wdt_P161/wdt_P569 var_date sep_dot bra_close 
Which telecommunications organizations are located in Belgium?,SELECT DISTINCT var_uri WHERE bra_open bra_open var_uri wdt_P31 wd_Q43229 bra_close UNION bra_open var_uri wdt_P31/(wdt_P279*) wd_Q43229 bra_close sep_dot var_uri wdt_P452 wd_Q418 sep_dot var_uri wdt_P17 wd_Q31 sep_dot bra_close 
Give me a list of all lakes in Denmark.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q23397 ; wdt_P17 wd_Q35 sep_dot bra_close 
How many children does Eddie Murphy have?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE bra_open wd_Q43874 wdt_P40 var_uri sep_dot bra_close 
Show me all English Gothic buildings in Kent.,SELECT var_uri WHERE bra_open var_type wdt_P279* wd_Q176483 sep_dot var_uri wdt_P149 var_type ; wdt_P7959 wd_Q67479626 sep_dot bra_close 
In which countries can you pay using the West African CFA franc?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P38 wd_Q861690 sep_dot bra_close 
Which holidays are celebrated around the world?,SELECT DISTINCT var_uri WHERE bra_open var_type wdt_P279* wd_Q1445650 sep_dot var_uri wdt_P31 var_type sep_dot bra_close 
What is the longest river?,"SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q4022 sep_dot var_uri p_P2043 var_stmnode sep_dot var_stmnode psv_P2043 var_valuenode sep_dot var_valuenode wikibase_quantityAmount var_length sep_dot var_valuenode wikibase_quantityUnit var_unit sep_dot var_valuenode wikibase_quantityLowerBound var_lowerbound sep_dot var_valuenode wikibase_quantityUpperBound var_upperbound sep_dot BIND(( var_upperbound- var_lowerbound)/2 AS var_precision) sep_dot BIND(IF( var_precision=0, var_length, (CONCAT(str( var_length), ""±"", str( var_precision)))) AS var_length2) sep_dot var_unit p_P2370 var_unitstmnode sep_dot var_unitstmnode psv_P2370 var_unitvaluenode sep_dot var_unitvaluenode wikibase_quantityAmount var_conversion sep_dot var_unitvaluenode wikibase_quantityUnit wd_Q11573 sep_dot BIND( var_length * var_conversion AS var_length_in_m) sep_dot bra_close ORDER BY DESC( var_length_in_m) LIMIT 1"
Which organizations were founded in 1930?,SELECT var_sub WHERE bra_open var_sub wdt_P571 var_year sep_dot var_sub wdt_P31/wdt_P131* wd_Q43229 sep_dot FILTER(year( var_year) = 1930) sep_dot bra_close 
What is the birth name of Angela Merkel?,SELECT DISTINCT var_name WHERE bra_open wd_Q567 wdt_P1477 var_name sep_dot bra_close 
Who has Tom Cruise been married to?,SELECT DISTINCT var_o1 WHERE bra_open wd_Q37079 wdt_P26 var_o1 sep_dot bra_close 
Which weapons did Heckler & Koch develop?,SELECT var_res WHERE bra_open var_res wdt_P176 wd_Q152815 sep_dot var_res wdt_P279*/wdt_P31 wd_Q15142889 sep_dot bra_close 
What is the smallest city by area in Germany?,SELECT var_res WHERE bra_open var_res wdt_P17 wd_Q183 sep_dot var_res wdt_P31/wdt_P279* wd_Q515 sep_dot var_res wdt_P1082 var_inhabitants sep_dot bra_close ORDER BY var_inhabitants LIMIt 1
What is the ruling party in Lisbon?,SELECT var_res WHERE bra_open var_mayor wdt_P31 wd_Q5 sep_dot var_mayor p_P39 __a sep_dot __a ps_P39 wd_Q43185970 sep_dot __a pq_P580 var_date sep_dot var_mayor wdt_P102 var_res sep_dot bra_close ORDER BY DESC( var_date) LIMIT 1
How heavy is Jupiter's lightest moon?,SELECT var_mass WHERE bra_open var_res wdt_P31 wd_Q61702557 sep_dot var_res wdt_P2067 var_mass sep_dot bra_close ORDER BY var_mass LIMIT 1
How many employees does IBM have?,SELECT var_emloyees WHERE bra_open wd_Q37156 wdt_P1128 var_emloyees sep_dot bra_close 
List all episodes of the first season of the HBO television series The Sopranos!,SELECT (COUNT( var_episode) AS var_count) WHERE bra_open var_episode wdt_P4908 wd_Q5274359 sep_dot bra_close 
Does the new Battlestar Galactica series have more episodes than the old one?,ASK WHERE bra_open wd_Q237072 wdt_P1113 var_newNumOfEpisodes sep_dot wd_Q2367132 wdt_P1113 var_oldNumOfEpisodes sep_dot FILTER ( var_newNumOfEpisodes > var_oldNumOfEpisodes) bra_close 
Give me all films produced by Hal Roach.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q11424 sep_dot var_uri wdt_P162 wd_Q72792 sep_dot bra_close 
Who played Agent Smith in Matrix?,SELECT var_res WHERE bra_open wd_Q83495 p_P161 __a sep_dot __a pq_P453 wd_Q2085488 sep_dot __a ps_P161 var_res sep_dot bra_close 
Which Greek parties are pro-European?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q7278 ; wdt_P17 wd_Q41 ; wdt_P1142 wd_Q3781399 sep_dot bra_close 
Give me a list of all bandleaders that play trumpet.,SELECT var_res WHERE bra_open var_res wdt_P106 wd_Q806349 sep_dot var_res wdt_P1303 wd_Q8338 sep_dot bra_close 
What is the second highest mountain on Earth?,SELECT var_res WHERE bra_open var_res wdt_P31/wdt_P279* wd_Q8502 sep_dot var_res wdt_P2044 var_elevation sep_dot var_res wdt_P30/wdt_P361 wd_Q2 sep_dot bra_close ORDER BY DESC( var_elevation) LIMIT 1 OFFSET 1
Is Egypts largest city also its capital?,ASK WHERE bra_open bra_open SELECT var_largest WHERE bra_open var_largest wdt_P31 wd_Q515 sep_dot var_largest wdt_P17 wd_Q79 sep_dot var_largest wdt_P1082 var_population sep_dot bra_close ORDER BY DESC( var_population) LIMIT 1 bra_close wd_Q79 wdt_P36 var_largest sep_dot bra_close 
Which rockets were launched from Baikonur?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P279* wd_Q41291 sep_dot var_uri wdt_P1427 wd_Q177477 sep_dot bra_close 
How many programming languages are there?,SELECT (COUNT(DISTINCT var_sub) AS var_count) WHERE bra_open var_sub wdt_P31/wdt_P279* wd_Q9143 sep_dot bra_close 
Which Chess players died in the same place they were born in?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P19 __a sep_dot var_uri wdt_P20 __a sep_dot var_uri wdt_P106/wdt_P279* wd_Q10873124 sep_dot bra_close 
Who is the owner of Facebook?,SELECT var_res WHERE bra_open wd_Q380 wdt_P127 var_res sep_dot bra_close 
Give me all movies with Tom Cruise.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P161 wd_Q37079 sep_dot bra_close 
In which U.S. state is Fort Knox located?,SELECT var_res WHERE bra_open wd_Q983650 wdt_P131+ var_res sep_dot var_res wdt_P31 wd_Q35657 sep_dot bra_close 
Give me all cities in New Jersey with more than 100000 inhabitants.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q515 sep_dot var_uri wdt_P131+ wd_Q1408 sep_dot var_uri wdt_P1082 var_population sep_dot FILTER( var_population > 100000) bra_close 
Which mountains are higher than the Nanga Parbat?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q8502 sep_dot var_uri p_P2044 var_stmnode sep_dot var_stmnode psv_P2044 var_valuenode sep_dot var_valuenode wikibase_quantityAmount var_elevation sep_dot var_valuenode wikibase_quantityUnit var_unit sep_dot wd_Q130736 wdt_P2044 var_elevationNangaParbat sep_dot FILTER( var_unit = wd_Q11573) FILTER ( var_elevation > var_elevationNangaParbat) bra_close 
Give me all B-sides of the Ramones.,SELECT var_res WHERE bra_open var_res wdt_P175 wd_Q483407 sep_dot var_res p_P1433 __a sep_dot __a pq_P2868 wd_Q13432985 sep_dot bra_close 
When was Olof Palme shot?,SELECT DISTINCT var_date WHERE bra_open wd_Q53713 <p_P570> var_date bra_close 
List the seven kings of Rome.,SELECT * WHERE bra_open var_res wdt_P39 wd_Q55375123 sep_dot bra_close 
Give me all people that were born in Vienna and died in Berlin.,SELECT var_uri WHERE bra_open bra_open var_uri wdt_P19/wdt_P131* wd_Q1741 sep_dot bra_open SELECT var_uri WHERE bra_open var_uri wdt_P20 wd_Q64 sep_dot bra_close bra_close bra_close UNION bra_open var_uri wdt_P20/wdt_P131* wd_Q64 sep_dot bra_open SELECT var_uri WHERE bra_open var_uri wdt_P19 wd_Q1741 sep_dot bra_close bra_close bra_close UNION bra_open var_uri wdt_P19/wdt_P131+ wd_Q1741 sep_dot bra_open SELECT var_uri WHERE bra_open var_uri wdt_P20/wdt_P131+ wd_Q64 sep_dot bra_close bra_close bra_close bra_close 
Is Darth Vader Luke’s father?,ASK WHERE bra_open wd_Q12206942 wdt_P40 wd_Q51746 sep_dot bra_close 
Show me all the breweries in Australia.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q131734 sep_dot var_uri wdt_P17 wd_Q408 sep_dot bra_close 
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P162 wd_Q8877 ; wdt_P31/wdt_P279* wd_Q11424 ; wdt_P2130 var_cost sep_dot FILTER( var_cost > 80000000) bra_close 
Give me all soccer clubs in Spain.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q476028 sep_dot var_uri wdt_P17 wd_Q29 sep_dot bra_close 
Who produced films starring Natalie Portman?,SELECT DISTINCT var_uri WHERE bra_open var_film wdt_P31 wd_Q11424 sep_dot var_film wdt_P161 wd_Q37876 sep_dot var_film wdt_P162 var_uri sep_dot bra_close 
Give me all breeds of the German Shepherd dog.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P279* wd_Q38280 FILTER( var_uri != wd_Q38280) bra_close 
Who is the heaviest player of the Chicago Bulls?,"SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P54 wd_Q128109 ; p_P54 var_memberOfStatement sep_dot var_memberOfStatement a wikibase_BestRank; var__ wd_Q128109 ; pq_P580 var_startTime sep_dot MINUS bra_open var_memberOfStatement pq_P582 var_endTime sep_dot bra_close MINUS bra_open var_uri wdt_P2032 var_endCareer sep_dot bra_close var_uri p_P2067 var_stmnode sep_dot var_stmnode psv_P2067 var_valuenode sep_dot var_valuenode wikibase_quantityAmount var_mass sep_dot var_valuenode wikibase_quantityUnit var_unit sep_dot BIND(IF( var_unit = wd_Q11570, var_mass, var_mass*0.453592) AS var_massUnified) bra_close ORDER BY DESC( var_massUnified) LIMIT 1"
Which languages are spoken in Estonia?,SELECT * WHERE bra_open wd_Q191 wdt_P2936 var_lang sep_dot bra_close 
What is the largest country in the world?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31/wdt_P279* wd_Q3624078 sep_dot var_uri wdt_P2046 var_area sep_dot bra_close ORDER BY DESC( var_area) LIMIT 1
What is the largest city in america?,SELECT var_res WHERE bra_open var_res wdt_P17 wd_Q30 sep_dot var_res wdt_P31/wdt_P279* wd_Q515 sep_dot var_res wdt_P1082 var_population sep_dot bra_close ORDER BY DESC( var_population) LIMIT 1
Who was the pope that founded the Vatican Television?,SELECT var_res WHERE bra_open wd_Q1471987 wdt_P571 var_founded sep_dot var_res wdt_P39 wd_Q19546 sep_dot var_res p_P39 __a sep_dot __a ps_P39 wd_Q19546 sep_dot __a pq_P580 var_start sep_dot __a pq_P582 var_end sep_dot FILTER( var_start <= var_founded && var_founded <= var_end) sep_dot bra_close 
Who discovered Ceres?,SELECT DISTINCT var_uri WHERE bra_open wd_Q596 wdt_P61 var_uri sep_dot bra_close 
Who is the king of the Netherlands?,SELECT DISTINCT var_uri WHERE bra_open wd_Q55 wdt_P35 var_uri sep_dot var_uri wdt_P39 wd_Q2045066 sep_dot bra_close 
Is Cola a beverage?,ASK WHERE bra_open wd_Q134041 wdt_P279+ wd_Q40050 sep_dot bra_close 
What is the alma mater of the chancellor of Germany Angela Merkel?,SELECT var_res WHERE bra_open wd_Q567 wdt_P69 var_res sep_dot var_res wdt_P31/wdt_P279* wd_Q3918 sep_dot bra_close 
Who wrote the book Les Piliers de la terre?,SELECT DISTINCT var_res WHERE bra_open wd_Q1163227 wdt_P50 var_res sep_dot bra_close 
Which airports does Yeti Airlines serve?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1480118 wdt_P113 var_uri sep_dot bra_close 
Where is the birthplace of Goethe?,SELECT var_res WHERE bra_open wd_Q5879 wdt_P19 var_res sep_dot bra_close 
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,ASK WHERE bra_open wd_Q128160 wdt_P582 var_date1 sep_dot wd_Q191721 wdt_P580 var_date2 sep_dot FILTER( var_date1 < var_date2) bra_close 
Which ingredients do I need for carrot cake?,SELECT DISTINCT var_uri WHERE bra_open wd_Q656071 wdt_P527 var_uri sep_dot bra_close 
Who created Wikipedia?,SELECT DISTINCT var_uri WHERE bra_open wd_Q52 wdt_P112 var_uri sep_dot bra_close 
What is the highest mountain in Saxony Germany?,SELECT var_res WHERE bra_open var_res wdt_P31 wd_Q8502 sep_dot var_res wdt_P131+ wd_Q1202 sep_dot var_res wdt_P2044 var_height sep_dot bra_close ORDER BY DESC( var_height) LIMIT 1
Who is the current federal minister of finance in Germany?,SELECT var_res WHERE bra_open var_res p_P39 __a sep_dot __a ps_P39 wd_Q22575092 sep_dot _a pq_P580 var_start sep_dot bra_close ORDER BY DESC( var_start) LIMIT 1
In which country is Mecca located?,SELECT DISTINCT var_res WHERE bra_open wd_Q5806 wdt_P131+ var_res sep_dot var_res wdt_P31 wd_Q6256 sep_dot bra_close 
Who played Gus Fring in Breaking Bad?,SELECT DISTINCT var_uri WHERE bra_open wd_Q5620660 ^<p_qualifier/P453>/<p_statement/P161> var_uri bra_close 
In which country does the Nile start?,SELECT DISTINCT var_res WHERE bra_open wd_Q3392 wdt_P885/wdt_P17 var_res sep_dot bra_close 
In which state Penn State University is located?,SELECT var_res WHERE bra_open wd_Q739627 wdt_P131 var_res sep_dot var_res wdt_P31/wdt_P279* wd_Q106458883 sep_dot bra_close 
What is the biggest stadium in Spain?,SELECT DISTINCT var_uri WHERE bra_open bra_open var_uri wdt_P31 wd_Q483110 sep_dot bra_close UNION bra_open var_uri wdt_P31 var_type sep_dot var_type wdt_P279 wd_Q483110 bra_close var_uri wdt_P17 wd_Q29 sep_dot var_uri wdt_P1083 var_num sep_dot bra_close ORDER BY DESC( var_num) LIMIT 1
How large is the area of UK?,SELECT var_area WHERE bra_open wd_Q145 wdt_P2046 var_area sep_dot bra_close 
Who created Batman?,SELECT DISTINCT var_uri WHERE bra_open wd_Q2695156 wdt_P170 var_uri sep_dot bra_close 
Was Sigmund Freud married?,ASK WHERE bra_open wd_Q9215 wdt_P26 var_o1 sep_dot bra_close 
Who are the developers of DBpedia?,SELECT DISTINCT var_uri WHERE bra_open wd_Q465 wdt_P112 var_uri sep_dot bra_close 
Give me all movies directed by Francis Ford Coppola.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31/wdt_P279* wd_Q11424 ; wdt_P57 wd_Q56094 sep_dot bra_close 
Are tree frogs a type of amphibian?,ASK WHERE bra_open wd_Q53696 wdt_P171* wd_Q10908 sep_dot bra_close 
What is the location of the Houses of Parliament?,SELECT DISTINCT var_uri WHERE bra_open wd_Q62408 wdt_P131 var_uri sep_dot bra_close 
how much is the elevation of Düsseldorf Airport ?,SELECT DISTINCT var_uri WHERE bra_open wd_Q58226 wdt_P2044 var_uri sep_dot bra_close 
How much is the population of mexico city ?,SELECT DISTINCT var_uri WHERE bra_open wd_Q1489 wdt_P1082 var_uri sep_dot bra_close 
when was the founding date of french fifth republic?,SELECT DISTINCT var_uri WHERE bra_open wd_Q200686 wdt_P571 var_uri sep_dot bra_close 
Who was the first King of England?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P39 wd_Q18810062 sep_dot var_uri p_P39 var_stmnode sep_dot var_stmnode pq_P580 var_startDate sep_dot bra_close ORDER BY var_startDate LIMIT 1
Who is the editor of Forbes?,SELECT DISTINCT var_uri WHERE bra_open wd_Q25161472 wdt_P98 var_uri sep_dot bra_close 
Which awards did Douglas Hofstadter win?,SELECT DISTINCT var_uri WHERE bra_open wd_Q319308 wdt_P166 var_uri sep_dot bra_close 
Who is the youngest Darts player?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P106 wd_Q18574233 ; wdt_P569 var_dateOfBirth sep_dot bra_close ORDER BY DESC( var_dateOfBirth) LIMIT 1
Is horse racing a sport?,ASK WHERE bra_open wd_Q187916 wdt_P279* wd_Q349 sep_dot bra_close 
Which river does the Brooklyn Bridge cross?,SELECT DISTINCT var_uri WHERE bra_open wd_Q125006 wdt_P177 var_uri sep_dot bra_close 
How many people live in Poland?,SELECT DISTINCT var_uri WHERE bra_open wd_Q36 wdt_P1082 var_uri bra_close 
When was the last episode of the TV series Friends aired?,SELECT DISTINCT var_uri WHERE bra_open wd_Q79784 wdt_P582 var_uri sep_dot bra_close 
Is the wife of president Obama called Michelle?,"ASK WHERE bra_open wd_Q76 wdt_P26 var_wife sep_dot var_wife rdfs_label var_name sep_dot FILTER regex( var_name, ""Michelle"") bra_close "
Who is 8th president of US?,SELECT DISTINCT var_uri WHERE bra_open wd_Q30 p_P6 var_statement sep_dot var_statement pq_P580 var_startTime ; ps_P6 var_uri sep_dot bra_close ORDER BY var_startTime OFFSET 7 LIMIT 1
how much is the total population of european union?,SELECT DISTINCT var_uri WHERE bra_open wd_Q458 wdt_P1082 var_uri sep_dot bra_close 
Give me all launch pads operated by NASA.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q194188 ; wdt_P137 wd_Q23548 sep_dot bra_close 
Who developed the video game World of Warcraft?,SELECT DISTINCT var_uri WHERE bra_open wd_Q131007 wdt_P178 var_uri sep_dot bra_close 
What is the birth name of Adele?,SELECT var_name WHERE bra_open wd_Q23215 wdt_P1477 var_name sep_dot bra_close 
What is the population of Cairo?,SELECT DISTINCT var_val WHERE bra_open wd_Q85 wdt_P1082 var_val sep_dot bra_close 
Is Frank Herbert still alive?,ASK WHERE bra_open wd_Q7934 wdt_P570 var_date sep_dot FILTER(!BOUND( var_date)) bra_close 
What is the last work of Dan Brown?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P50 wd_Q7345 ; wdt_P577 var_date sep_dot bra_close ORDER BY DESC( var_date) LIMIT 1
Where is Sungkyunkwan University?,SELECT DISTINCT var_uri WHERE bra_open VALUES var_p bra_open wdt_P17 wdt_P276 wdt_P131 bra_close wd_Q41085 var_p var_uri sep_dot bra_close 
Who is the author of the interpretation of dreams?,SELECT DISTINCT var_uri WHERE bra_open wd_Q726382 wdt_P50 var_uri sep_dot bra_close 
When was the death of Shakespeare?,SELECT DISTINCT var_uri WHERE bra_open wd_Q692 wdt_P570 var_uri sep_dot bra_close 
Who developed Slack?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P1056 wd_Q17130715 bra_close 
In which year was Rachel Stevens born?,SELECT DISTINCT var_year WHERE bra_open wd_Q241665 wdt_P569 var_date sep_dot BIND(YEAR( var_date) as var_year) bra_close 
How often did Jane Fonda marry?,SELECT (COUNT(DISTINCT var_uri) as var_c) WHERE bra_open wd_Q41142 wdt_P26 var_uri sep_dot bra_close 
Was the wife of president Lincoln called Mary?,"ASK WHERE bra_open wd_Q91 wdt_P26 var_spouse sep_dot var_spouse rdfs_label> var_name sep_dot FILTER(regex( var_name,'Mary')) bra_close "
In which programming language is GIMP written?,SELECT DISTINCT var_uri WHERE bra_open wd_Q8038 wdt_P277 var_uri sep_dot bra_close 
Which university did Angela Merkel attend?,SELECT DISTINCT var_uri WHERE bra_open VALUES var_types bra_open wd_Q3918 wd_Q875538 bra_close wd_Q567 wdt_P69 var_uri sep_dot var_uri wdt_P31 var_types sep_dot bra_close 
List all the musicals with music by Elton John.,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31/wdt_P279* wd_Q58483083 ; wdt_P86 wd_Q2808 sep_dot bra_close 
What is the longest river in the world?,"SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P31 wd_Q4022 sep_dot var_uri p_P2043 var_stmnode sep_dot var_stmnode psv_P2043 var_valuenode sep_dot var_valuenode wikibase_quantityAmount var_length sep_dot var_valuenode wikibase_quantityUnit var_unit sep_dot var_valuenode wikibase_quantityLowerBound var_lowerbound sep_dot var_valuenode wikibase_quantityUpperBound var_upperbound sep_dot BIND(( var_upperbound- var_lowerbound)/2 AS var_precision) sep_dot BIND(IF( var_precision=0, var_length, (CONCAT(str( var_length), ""±"", str( var_precision)))) AS var_length2) sep_dot var_unit p_P2370 var_unitstmnode sep_dot var_unitstmnode psv_P2370 var_unitvaluenode sep_dot var_unitvaluenode wikibase_quantityAmount var_conversion sep_dot var_unitvaluenode wikibase_quantityUnit wd_Q11573 sep_dot BIND( var_length * var_conversion AS var_length_in_m) sep_dot bra_close ORDER BY DESC( var_length_in_m) LIMIT 1"
When was John Adams born?,SELECT DISTINCT var_val WHERE bra_open wd_Q11806 wdt_P569 var_val sep_dot bra_close 
Which companies produce hovercrafts?,SELECT DISTINCT var_uri WHERE bra_open var_hovercraft wdt_P31/wdt_P279* wd_Q185757 ; wdt_P176 var_uri sep_dot bra_close 
Who was the wife of U.S. president Lincoln?,SELECT DISTINCT var_uri WHERE bra_open wd_Q91 wdt_P26 var_uri sep_dot bra_close 
Which species does an elephant belong?,SELECT DISTINCT var_uri WHERE bra_open wd_Q7378 wdt_P279 var_uri sep_dot bra_close 
How many people live in the capital of Australia?,SELECT DISTINCT var_number WHERE bra_open wd_Q408 wdt_P36 var_uri sep_dot var_uri wdt_P1082 var_number sep_dot bra_close 
In which ancient empire could you pay with cocoa beans?,SELECT DISTINCT var_uri WHERE bra_open var_uri wdt_P38 wd_Q208008 sep_dot bra_close 
